REFERENCE;CURRENCY;PRICE;COUNTRY
100.027;EUR;7.02;FR
101.349;EUR;6.59;FR
101.577;EUR;42.55;FR
101.679;EUR;59.52;FR
101.681;EUR;98.30;FR
101.748;EUR;23.97;FR
101.852;EUR;22.31;FR
101.863;EUR;25.07;FR
101.896;EUR;112.61;FR
101.954;EUR;1.13;FR
102.024;EUR;9.61;FR
102.057;EUR;29.49;FR
102.068;EUR;2.28;FR
102.194;EUR;4.22;FR
102.206;EUR;10.22;FR
102.558;EUR;1.44;FR
102.638;EUR;2.32;FR
102.695;EUR;2.75;FR
102.707;EUR;1.61;FR
102.809;EUR;1.75;FR
103.005;EUR;2.68;FR
103.051;EUR;50.82;FR
103.062;EUR;82.25;FR
103.073;EUR;7.55;FR
103.288;EUR;9.81;FR
103.415;EUR;2.84;FR
103.596;EUR;0.88;FR
103.608;EUR;1.34;FR
103.643;EUR;5.08;FR
103.687;EUR;5.22;FR
103.723;EUR;1.50;FR
103.734;EUR;1.99;FR
103.745;EUR;1.50;FR
103.756;EUR;1.99;FR
103.767;EUR;1.50;FR
103.803;EUR;55.79;FR
103.847;EUR;1.99;FR
103.916;EUR;4.29;FR
103.927;EUR;3.83;FR
103.938;EUR;0.81;FR
103.949;EUR;2.82;FR
103.951;EUR;3.18;FR
103.973;EUR;18.28;FR
104.008;EUR;57.62;FR
104.123;EUR;47.63;FR
104.134;EUR;12.05;FR
104.145;EUR;20.83;FR
104.156;EUR;7.26;FR
104.167;EUR;26.23;FR
104.464;EUR;32.44;FR
104.555;EUR;39.06;FR
104.759;EUR;24.67;FR
104.761;EUR;59.77;FR
104.772;EUR;37.92;FR
104.783;EUR;88.71;FR
104.806;EUR;23.97;FR
104.817;EUR;36.14;FR
104.839;EUR;27.89;FR
104.896;EUR;32.44;FR
104.998;EUR;41.44;FR
105.002;EUR;39.21;FR
105.013;EUR;30.66;FR
105.024;EUR;24.80;FR
105.035;EUR;16.99;FR
105.046;EUR;45.41;FR
105.057;EUR;36.52;FR
105.068;EUR;29.68;FR
105.079;EUR;32.44;FR
105.081;EUR;32.44;FR
105.092;EUR;48.00;FR
105.104;EUR;51.93;FR
105.126;EUR;148.75;FR
105.137;EUR;78.55;FR
105.148;EUR;81.49;FR
105.172;EUR;66.93;FR
105.183;EUR;80.62;FR
105.194;EUR;27.54;FR
105.228;EUR;182.48;FR
105.296;EUR;464.44;FR
105.321;EUR;41.74;FR
105.569;EUR;11.28;FR
105.638;EUR;43.42;FR
105.649;EUR;1.67;FR
105.651;EUR;1.67;FR
105.662;EUR;2.48;FR
105.673;EUR;7.10;FR
105.684;EUR;7.10;FR
105.695;EUR;7.10;FR
105.707;EUR;7.10;FR
105.968;EUR;1.14;FR
105.979;EUR;1.14;FR
106.051;EUR;85.73;FR
106.073;EUR;1.43;FR
106.084;EUR;1.43;FR
106.107;EUR;2.16;FR
106.131;EUR;3.78;FR
106.164;EUR;4.25;FR
106.175;EUR;2.75;FR
106.186;EUR;19.22;FR
106.244;EUR;32.49;FR
106.313;EUR;77.01;FR
106.346;EUR;7.51;FR
106.368;EUR;6.10;FR
106.506;EUR;8.43;FR
106.539;EUR;86.25;FR
106.541;EUR;5.58;FR
106.745;EUR;86.25;FR
106.791;EUR;86.25;FR
106.869;EUR;30.99;FR
106.882;EUR;9.53;FR
106.916;EUR;137.23;FR
107.101;EUR;55.77;FR
107.112;EUR;72.77;FR
107.123;EUR;21.98;FR
107.134;EUR;67.38;FR
